2025-07-26 17:32:07,881 - TRADE | BUY | 516482 | reaction=1ms | execution=1175ms | total=1176ms | grade=B | roi_v2=3.0%
2025-07-26 17:32:07,881 - TRADE | BUY | 516483 | reaction=1ms | execution=1179ms | total=1180ms | grade=B | roi_v2=1.6%
2025-07-26 17:32:07,881 - TRADE | BUY | 516484 | reaction=1ms | execution=1182ms | total=1183ms | grade=B | roi_v2=0.3%
2025-07-26 17:32:07,882 - TRADE | BUY | 516485 | reaction=2ms | execution=1186ms | total=1188ms | grade=B | roi_v2=0.0%
2025-07-26 17:32:07,882 - TRADE | MONITOR | 516486 | reaction=2ms | execution=614ms | total=615ms | grade=A | roi_v2=0.0%
2025-07-26 17:32:07,882 - TRADE | MONITOR | 516487 | reaction=2ms | execution=617ms | total=619ms | grade=A | roi_v2=0.0%
2025-08-13 22:45:56,169 - TRADE | BUY | 516706 | reaction=11ms | execution=1306ms | total=1317ms | grade=B | roi_v2=33.3%
2025-08-13 22:45:56,169 - TRADE | BUY | 516711 | reaction=9ms | execution=1328ms | total=1337ms | grade=B | roi_v2=25.4%
2025-08-13 22:45:56,170 - TRADE | BUY | 516723 | reaction=7ms | execution=1303ms | total=1309ms | grade=B | roi_v2=34.6%
2025-08-13 22:45:56,170 - TRADE | BUY | 516724 | reaction=6ms | execution=1306ms | total=1312ms | grade=B | roi_v2=33.3%
2025-08-13 22:45:56,170 - TRADE | BUY | 516725 | reaction=5ms | execution=1310ms | total=1315ms | grade=B | roi_v2=32.0%
2025-08-13 22:45:56,170 - TRADE | BUY | 516726 | reaction=4ms | execution=1314ms | total=1317ms | grade=B | roi_v2=30.7%
2025-08-13 22:45:56,170 - TRADE | BUY | 516727 | reaction=3ms | execution=1317ms | total=1320ms | grade=B | roi_v2=29.4%
2025-08-13 22:45:56,170 - TRADE | BUY | 516728 | reaction=1ms | execution=1321ms | total=1322ms | grade=B | roi_v2=28.0%
2025-08-13 22:45:56,170 - TRADE | BUY | 516729 | reaction=0ms | execution=1324ms | total=1325ms | grade=B | roi_v2=26.7%
